1    1
25    1
33    1
37    1
45    1
89    1
103    1
105    1
109    1
19    2
29    2
30    2
35    2
55    2
79    2
94    2
101    2
2    3
6    3
13    3
15    3
32    3
39    3
47    3
60    3
64    3
100    3
106    3
3    4
5    4
10    4
40    4
52    4
72    4
74    4
81    4
84    4
98    4
102    4
107    4
44    5
48    5
57    5
66    5
75    5
86    5
91    5
92    5
110   5
112   5
12    6
14    6
18    6
26    6
31    6
34    6
38    6
43    6
54    6
61    6
71    6
85    6
99    6
0   7
4   7
9   7
16   7
23   7
41   7
93   7
104  7
7    8
8    8
21   8
22   8
51   8
68   8
77   8
78   8
108  8
111  8
17   9
20   9
27   9
56   9
62   9
65   9
70   9
76   9
87   9
95   9
96   9
113  9
11   10
24   10
50   10
59   10
63   10
69   10
97   10
28   11
46   11
49   11
53   11
58   11
67   11
73   11
83   11
88   11
114  11
36    12
42    12
80    12
82    12
90    12
