1	2
1	36
1	5
1	66
1	34
1	105
1	10
1	17
1	42
1	24
1	91
1	94
2	34
2	38
2	104
2	106
2	46
2	110
2	90
2	58
2	26
2	28
2	102
3	65
3	4
3	101
3	7
3	73
3	75
3	14
3	15
3	48
3	16
3	61
3	107
4	6
4	103
4	82
4	41
4	75
4	12
4	73
4	53
4	85
4	27
4	59
5	6
5	105
5	10
5	109
5	17
5	42
5	24
5	29
5	94
5	70
6	98
6	99
6	11
6	12
6	82
6	108
6	53
6	85
6	91
6	75
7	33
7	65
7	101
7	40
7	107
7	8
7	48
7	86
7	56
7	59
7	61
8	69
8	9
8	74
8	109
8	78
8	79
8	112
8	41
8	83
8	22
8	23
9	69
9	10
9	78
9	79
9	112
9	52
9	22
9	23
9	42
9	91
10	65
10	42
10	109
10	17
10	105
10	23
10	24
10	94
11	99
11	108
11	103
11	73
11	75
11	12
11	82
11	85
11	61
12	98
12	105
12	51
12	25
12	91
12	29
12	70
13	35
13	37
13	39
13	44
13	14
13	15
13	18
13	19
13	86
13	27
14	33
14	65
14	101
14	40
14	107
14	46
14	111
14	16
14	61
15	100
15	39
15	72
15	44
15	16
15	86
15	55
15	27
16	33
16	69
16	40
16	93
16	107
16	48
16	115
16	101
16	61
17	68
17	39
17	82
17	105
17	18
17	42
17	24
17	94
18	97
18	66
18	114
18	21
18	88
18	59
18	28
18	63
18	96
19	35
19	100
19	37
19	39
19	72
19	43
19	20
19	55
19	62
19	32
20	34
20	36
20	37
20	102
20	45
20	80
20	95
20	56
20	30
20	31
21	97
21	66
21	37
21	71
21	114
21	76
21	77
21	22
21	88
21	63
22	33
22	69
22	109
22	78
22	47
22	112
22	52
22	23
23	69
23	109
23	78
23	79
23	48
23	52
23	24
24	105
24	79
24	112
24	42
24	91
24	94
25	67
25	70
25	111
25	51
25	85
25	88
25	26
25	91
25	29
26	38
26	34
26	106
26	107
26	104
26	46
26	110
26	54
26	90
27	35
27	39
27	43
27	44
27	86
27	28
27	62
28	97
28	71
28	66
28	77
28	57
28	96
28	63
28	64
29	70
29	39
29	79
29	114
29	51
29	91
30	36
30	102
30	43
30	80
30	81
30	83
30	95
30	56
30	92
30	31
31	36
31	102
31	45
31	83
31	80
31	51
31	56
31	110
31	95
32	33
32	35
32	100
32	72
32	44
32	80
32	86
32	55
32	56
32	62
33	65
33	101
33	40
33	107
33	50
33	48
34	38
34	104
34	106
34	46
34	110
34	90
35	36
35	72
35	43
35	100
35	55
35	62
35	95
36	102
36	45
36	80
36	95
36	56
36	93
37	38
37	44
37	59
37	60
38	106
38	104
38	46
38	110
38	81
38	90
38	96
39	72
39	40
39	44
39	86
39	55
40	101
40	107
40	48
40	83
40	55
40	61
41	99
41	103
41	73
41	42
41	75
41	108
41	82
41	52
41	53
42	68
42	105
42	94
43	44
43	58
43	64
44	71
44	80
44	86
44	62
45	113
45	67
45	76
45	46
45	49
45	87
45	58
45	92
46	106
46	104
46	110
46	90
46	63
47	68
47	74
47	111
47	48
47	50
47	115
47	84
47	54
47	89
47	112
48	65
48	101
48	61
48	62
49	97
49	67
49	76
49	99
49	50
49	54
49	87
49	58
49	92
49	93
50	68
50	74
50	111
50	115
50	84
50	85
50	54
50	89
51	69
51	70
51	79
51	52
51	91
52	69
52	102
52	109
52	78
52	79
52	112
53	99
53	103
53	75
53	113
53	73
53	85
53	54
54	68
54	74
54	115
54	84
54	111
54	87
54	89
55	100
55	72
55	56
55	62
56	102
56	80
56	95
56	90
57	97
57	66
57	71
57	107
57	77
57	88
57	58
57	63
57	96
58	113
58	76
58	87
58	92
58	93
59	98
59	102
59	115
59	89
59	60
59	64
60	98
60	67
60	77
60	114
60	61
60	64
61	65
61	72
61	107
62	100
62	72
62	93
62	63
63	71
63	106
63	77
63	88
63	96
64	65
64	66
64	98
64	110
64	113
65	101
65	107
65	112
66	97
66	67
66	71
66	114
66	88
67	92
67	77
67	76
67	113
67	87
67	93
68	69
68	105
68	111
68	115
68	84
68	74
68	89
69	109
69	79
69	112
70	71
70	89
70	84
70	91
70	92
70	96
71	104
71	77
71	114
71	96
72	100
72	73
73	103
73	108
73	82
73	105
73	75
74	111
74	75
74	78
74	115
74	84
74	89
75	103
75	83
75	85
76	113
76	108
76	77
76	87
76	93
77	97
77	114
77	96
78	99
78	109
78	79
78	112
78	83
79	109
79	112
80	102
80	110
80	81
80	95
81	106
81	111
81	94
81	83
81	86
81	87
81	92
81	95
82	99
82	108
82	83
82	84
82	85
83	101
83	94
83	95
84	111
84	115
84	85
84	89
85	99
85	108
86	100
87	98
87	88
87	92
87	93
88	97
88	114
88	105
88	96
89	108
89	111
89	115
89	90
90	100
90	106
90	104
90	110
92	113
92	94
92	93
93	113
93	107
94	105
95	102
96	114
97	114
97	113
98	99
98	113
99	103
99	108
100	101
101	103
103	104
103	108
104	106
104	110
105	115
106	110
109	112
111	115
